Ticket_ID,Event_Time,Alert_Source,Alert_Type,Detection_Tool,Severity,Confidence_Level,Confidence_Band,Affected_Asset,User_Role,Indicators_Present,Short_Description,Category_Label,Risk_Score,MITRE_Tactic,MITRE_Technique,Possible_CVE,Enrichment_Context,Immediate_Containment,Playbook_Steps,Recommended_Action,Expected_Action,Decision_Correct
1011,2026-02-13T06:30:00Z,Email Gateway,Suspicious Email Activity,Mimecast,MEDIUM,48,MEDIUM,User Mailbox,Staff,lookalike domain;missing DKIM;IT impersonation,Email impersonating IT helpdesk sent from domain missing DKIM signature.,Phishing,3.75,TA0001 - Initial Access,T1566.001 - Spearphishing Link,N/A (social engineering; no CVE applicable),"Sender is spoofing an executive or trusted internal identity. Domain fails DMARC, DKIM, or SPF alignment. This pattern is consistent with Business Email Compromise (BEC) or a targeted spearphishing campaign. Finance and admin users are common targets.",Retract all delivered emails from mailboxes. Block the spoofed or lookalike domain at gateway. Alert the impersonated individual and their team directly.,"1. Check DMARC, DKIM, and SPF alignment results for the sender domain.
2. Determine whether this is a targeted spearphish (BEC) or opportunistic bulk campaign.
3. Retract emails from all affected mailboxes.
4. If executive impersonation: notify finance team and the impersonated executive directly via phone.
5. Block the lookalike or spoofed domain at email gateway and DNS.
6. Search mail logs for prior messages from the same domain or IP range.
7. Submit domain to brand protection vendor for takedown request.
8. Document IOCs and close ticket, or escalate if financial transaction was initiated.",Investigate,Investigate,YES
1012,2026-02-13T13:45:19Z,Email Gateway,Suspicious Email Activity,O365 Defender,LOW,22,LOW,User Mailbox,Staff,known sender;low confidence;no malicious indicators,Alert triggered on email from known partner; no malicious indicators found on review.,Phishing,1.0,TA0001 - Initial Access,N/A - Likely false positive,N/A,Alert pattern is consistent with bulk marketing email or an auto-generated internal message. Sender domain has neutral or positive reputation. No malicious indicators confirmed. High probability of false positive.,No immediate containment required. Confirm with requestor if needed.,"1. Verify sender domain reputation via threat intel lookup.
2. Confirm presence of a valid unsubscribe mechanism or known sender relationship.
3. If sender is a known marketing platform or partner, whitelist domain to reduce future noise.
4. Document decision rationale and close ticket as false positive.",Close - False Positive,Close - False Positive,YES
1013,2026-02-10T01:05:44Z,Endpoint Protection,Endpoint Malware Detection,CrowdStrike,CRITICAL,95,HIGH,Workstation,Staff,ransomware dropper;vssadmin shadow copy deletion;temp directory execution,Ransomware dropper detected executing from user temp directory; shadow copy deletion observed.,Malware,9.5,TA0002 - Execution / TA0003 - Persistence,T1486 - Data Encrypted for Impact,CVE-2021-34527 (PrintNightmare) or CVE-2020-0796 (SMBGhost) - common ransomware precursors,Indicator pattern matches a ransomware deployment chain. Shadow copy deletion via vssadmin is a strong signal of ransomware execution. Network scanning suggests lateral movement before or during encryption. Immediate isolation is critical to limit blast radius.,Isolate host from network immediately using EDR quarantine policy. Do NOT reboot. Preserve memory image for forensics.,"1. Quarantine the affected host immediately via EDR network isolation policy.
2. Preserve volatile memory dump before any remediation action (do not reboot).
3. Identify the infection vector: email attachment, malicious download, or lateral movement.
4. Scan all hosts on the same network segment for the same ransomware IOCs.
5. Check Active Directory for any new accounts or privilege escalations made in the last 24 hours.
6. Engage Tier-2 and Incident Response team immediately.
7. Verify and restore from the most recent clean backup after full forensic investigation.
8. Apply patches for CVE-2021-34527 and CVE-2020-0796 if not already patched.",Escalate,Escalate,YES
1014,2026-02-10T07:22:17Z,Endpoint Protection,Endpoint Malware Detection,SentinelOne,HIGH,83,HIGH,Workstation,Staff,C2 beacon;registry persistence;encoded PowerShell,Malware beacon to external C2 detected; persistence written to registry run key.,Malware,7.5,TA0002 - Execution / TA0003 - Persistence,T1547.001 - Registry Run Keys / T1059.001 - PowerShell,CVE-2023-23397 (Outlook NTLM relay) or CVE-2022-30190 (Follina) - common dropper vectors,C2 beacon and persistence indicators confirm malware has established a foothold. Encoded PowerShell is used to evade detection while downloading second-stage payloads. Registry run key persistence survives reboots. Treat this host as fully compromised.,Block C2 IP and domain at perimeter firewall and proxy. Kill the malicious process via EDR. Remove the registry persistence key.,"1. Block identified C2 IP and associated domain at perimeter firewall, web proxy, and DNS sinkhole.
2. Terminate the malicious process on the host via EDR remote kill.
3. Remove the registry run key persistence entry.
4. Decode and analyse the PowerShell payload to identify second-stage actions and additional IOCs.
5. Search SIEM for the same C2 IP and domain across all hosts in the environment.
6. Review email logs for evidence of CVE-2023-23397 or CVE-2022-30190 exploitation.
7. Patch Outlook and Office if affected versions are confirmed.
8. Submit all IOCs (hash, C2 IP, domain, registry key) to threat intel platform.",Escalate,Escalate,YES
1015,2026-02-10T09:40:55Z,Endpoint Protection,Endpoint Malware Detection,Windows Defender,MEDIUM,60,MEDIUM,Workstation,Staff,trojan signature;quarantine successful;no lateral movement,Known trojan signature matched and quarantined by AV; no further activity observed.,Malware,3.75,TA0002 - Execution / TA0003 - Persistence,T1003.001 - LSASS Memory Dump,CVE-2022-24521 (Windows CLFS EoP) - commonly used for privilege escalation prior to credential dump,"LSASS access or dump attempt means all credentials cached on this host must be considered compromised. If the host is domain-joined, domain credentials including service accounts are at risk. Lateral movement confirms the attacker is actively pivoting.",Isolate host immediately. Assume all credentials cached on this host are compromised and initiate forced reset.,"1. Isolate the endpoint immediately via EDR quarantine.
2. Initiate forced password reset for all user accounts that were logged into this host.
3. Reset the machine account password in Active Directory.
4. Temporarily disable affected accounts pending investigation.
5. Search for Qakbot or similar trojan persistence: scheduled tasks, DLL hijacks, startup folders.
6. Review Active Directory event logs for new admin account creation or privilege changes.
7. Check neighbouring hosts for the same lateral movement IOCs.
8. Escalate to Tier-2 for full forensic investigation and AD remediation.",Investigate,Investigate,YES
1016,2026-02-10T14:15:02Z,Endpoint Protection,Endpoint Malware Detection,Carbon Black,CRITICAL,88,HIGH,Server,Admin,LSASS dump attempt;lateral movement detected;worm propagation,Credential dump via LSASS attempted; lateral movement to two adjacent hosts detected.,Malware,9.5,TA0002 - Execution / TA0003 - Persistence,T1486 - Data Encrypted for Impact,CVE-2021-34527 (PrintNightmare) or CVE-2020-0796 (SMBGhost) - common ransomware precursors,Indicator pattern matches a ransomware deployment chain. Shadow copy deletion via vssadmin is a strong signal of ransomware execution. Network scanning suggests lateral movement before or during encryption. Immediate isolation is critical to limit blast radius.,Isolate host from network immediately using EDR quarantine policy. Do NOT reboot. Preserve memory image for forensics.,"1. Quarantine the affected host immediately via EDR network isolation policy.
2. Preserve volatile memory dump before any remediation action (do not reboot).
3. Identify the infection vector: email attachment, malicious download, or lateral movement.
4. Scan all hosts on the same network segment for the same ransomware IOCs.
5. Check Active Directory for any new accounts or privilege escalations made in the last 24 hours.
6. Engage Tier-2 and Incident Response team immediately.
7. Verify and restore from the most recent clean backup after full forensic investigation.
8. Apply patches for CVE-2021-34527 and CVE-2020-0796 if not already patched.",Escalate,Escalate,YES
1017,2026-02-11T02:55:30Z,Endpoint Protection,Endpoint Malware Detection,CrowdStrike,HIGH,74,MEDIUM,Workstation,Staff,encoded PowerShell;downloader activity;new scheduled task,Encoded PowerShell command executed a downloader; new scheduled task created for persistence.,Malware,5.62,TA0002 - Execution / TA0003 - Persistence,T1547.001 - Registry Run Keys / T1059.001 - PowerShell,CVE-2023-23397 (Outlook NTLM relay) or CVE-2022-30190 (Follina) - common dropper vectors,C2 beacon and persistence indicators confirm malware has established a foothold. Encoded PowerShell is used to evade detection while downloading second-stage payloads. Registry run key persistence survives reboots. Treat this host as fully compromised.,Block C2 IP and domain at perimeter firewall and proxy. Kill the malicious process via EDR. Remove the registry persistence key.,"1. Block identified C2 IP and associated domain at perimeter firewall, web proxy, and DNS sinkhole.
2. Terminate the malicious process on the host via EDR remote kill.
3. Remove the registry run key persistence entry.
4. Decode and analyse the PowerShell payload to identify second-stage actions and additional IOCs.
5. Search SIEM for the same C2 IP and domain across all hosts in the environment.
6. Review email logs for evidence of CVE-2023-23397 or CVE-2022-30190 exploitation.
7. Patch Outlook and Office if affected versions are confirmed.
8. Submit all IOCs (hash, C2 IP, domain, registry key) to threat intel platform.",Investigate,Investigate,YES
1018,2026-02-11T10:05:11Z,Endpoint Protection,Endpoint Malware Detection,SentinelOne,LOW,35,LOW,Workstation,Staff,PUP detected;adware;quarantine successful,Potentially unwanted program flagged and quarantined; no malicious behaviour observed.,Malware,1.0,TA0002 - Execution / TA0003 - Persistence,N/A - Low severity; quarantine resolved,N/A,"Alert is consistent with a potentially unwanted program or a low-confidence signature match. AV quarantine was successful with no evidence of execution, network activity, or process injection. Risk to the environment is minimal.",No immediate containment required. Confirm quarantine status in EDR console.,"1. Confirm quarantine was successful in EDR management console.
2. Verify no process execution, network connections, or persistence mechanisms were created.
3. Delete quarantined file after confirming no forensic value.
4. Update AV signature rules if false positive is confirmed.
5. Document and close ticket.",Close - Resolved,Close - Resolved,YES
1019,2026-02-11T14:30:22Z,Endpoint Protection,Endpoint Malware Detection,Windows Defender,MEDIUM,58,MEDIUM,Workstation,Staff,trojan signature;no network activity;isolated file,Trojan signature matched on dropped file; no network connections or process injection seen.,Malware,3.75,TA0002 - Execution / TA0003 - Persistence,T1486 - Data Encrypted for Impact,CVE-2021-34527 (PrintNightmare) or CVE-2020-0796 (SMBGhost) - common ransomware precursors,Indicator pattern matches a ransomware deployment chain. Shadow copy deletion via vssadmin is a strong signal of ransomware execution. Network scanning suggests lateral movement before or during encryption. Immediate isolation is critical to limit blast radius.,Isolate host from network immediately using EDR quarantine policy. Do NOT reboot. Preserve memory image for forensics.,"1. Quarantine the affected host immediately via EDR network isolation policy.
2. Preserve volatile memory dump before any remediation action (do not reboot).
3. Identify the infection vector: email attachment, malicious download, or lateral movement.
4. Scan all hosts on the same network segment for the same ransomware IOCs.
5. Check Active Directory for any new accounts or privilege escalations made in the last 24 hours.
6. Engage Tier-2 and Incident Response team immediately.
7. Verify and restore from the most recent clean backup after full forensic investigation.
8. Apply patches for CVE-2021-34527 and CVE-2020-0796 if not already patched.",Investigate,Investigate,YES
1020,2026-02-12T04:10:47Z,Endpoint Protection,Endpoint Malware Detection,Carbon Black,CRITICAL,92,HIGH,Workstation,Admin,ransomware dropper;SMB scanning;credential dump,Ransomware dropper executed on admin workstation; internal SMB scanning and credential dump observed.,Malware,9.5,TA0002 - Execution / TA0003 - Persistence,T1486 - Data Encrypted for Impact,CVE-2021-34527 (PrintNightmare) or CVE-2020-0796 (SMBGhost) - common ransomware precursors,Indicator pattern matches a ransomware deployment chain. Shadow copy deletion via vssadmin is a strong signal of ransomware execution. Network scanning suggests lateral movement before or during encryption. Immediate isolation is critical to limit blast radius.,Isolate host from network immediately using EDR quarantine policy. Do NOT reboot. Preserve memory image for forensics.,"1. Quarantine the affected host immediately via EDR network isolation policy.
2. Preserve volatile memory dump before any remediation action (do not reboot).
3. Identify the infection vector: email attachment, malicious download, or lateral movement.
4. Scan all hosts on the same network segment for the same ransomware IOCs.
5. Check Active Directory for any new accounts or privilege escalations made in the last 24 hours.
6. Engage Tier-2 and Incident Response team immediately.
7. Verify and restore from the most recent clean backup after full forensic investigation.
8. Apply patches for CVE-2021-34527 and CVE-2020-0796 if not already patched.",Escalate,Escalate,YES
1021,2026-02-12T08:50:33Z,Endpoint Protection,Endpoint Malware Detection,CrowdStrike,HIGH,78,HIGH,Workstation,Staff,C2 beacon;DNS tunnelling;exfiltration pattern,Malware using DNS tunnelling to beacon to C2; large outbound data transfer observed.,Malware,7.5,TA0002 - Execution / TA0003 - Persistence,T1547.001 - Registry Run Keys / T1059.001 - PowerShell,CVE-2023-23397 (Outlook NTLM relay) or CVE-2022-30190 (Follina) - common dropper vectors,C2 beacon and persistence indicators confirm malware has established a foothold. Encoded PowerShell is used to evade detection while downloading second-stage payloads. Registry run key persistence survives reboots. Treat this host as fully compromised.,Block C2 IP and domain at perimeter firewall and proxy. Kill the malicious process via EDR. Remove the registry persistence key.,"1. Block identified C2 IP and associated domain at perimeter firewall, web proxy, and DNS sinkhole.
2. Terminate the malicious process on the host via EDR remote kill.
3. Remove the registry run key persistence entry.
4. Decode and analyse the PowerShell payload to identify second-stage actions and additional IOCs.
5. Search SIEM for the same C2 IP and domain across all hosts in the environment.
6. Review email logs for evidence of CVE-2023-23397 or CVE-2022-30190 exploitation.
7. Patch Outlook and Office if affected versions are confirmed.
8. Submit all IOCs (hash, C2 IP, domain, registry key) to threat intel platform.",Escalate,Escalate,YES
1022,2026-02-12T12:20:05Z,Endpoint Protection,Endpoint Malware Detection,SentinelOne,LOW,25,LOW,Workstation,Staff,low confidence signature;sandbox clean;no process injection,Low-confidence signature triggered; sandbox analysis clean; no malicious behaviour confirmed.,Malware,1.0,TA0002 - Execution / TA0003 - Persistence,N/A - Low severity; quarantine resolved,N/A,"Alert is consistent with a potentially unwanted program or a low-confidence signature match. AV quarantine was successful with no evidence of execution, network activity, or process injection. Risk to the environment is minimal.",No immediate containment required. Confirm quarantine status in EDR console.,"1. Confirm quarantine was successful in EDR management console.
2. Verify no process execution, network connections, or persistence mechanisms were created.
3. Delete quarantined file after confirming no forensic value.
4. Update AV signature rules if false positive is confirmed.
5. Document and close ticket.",Close - False Positive,Close - False Positive,YES
1023,2026-02-12T17:40:58Z,Endpoint Protection,Endpoint Malware Detection,Windows Defender,MEDIUM,65,MEDIUM,Workstation,Staff,encoded PowerShell;no network activity;script blocked,Encoded PowerShell script blocked before execution; no follow-on activity observed.,Malware,3.75,TA0002 - Execution / TA0003 - Persistence,T1547.001 - Registry Run Keys / T1059.001 - PowerShell,CVE-2023-23397 (Outlook NTLM relay) or CVE-2022-30190 (Follina) - common dropper vectors,C2 beacon and persistence indicators confirm malware has established a foothold. Encoded PowerShell is used to evade detection while downloading second-stage payloads. Registry run key persistence survives reboots. Treat this host as fully compromised.,Block C2 IP and domain at perimeter firewall and proxy. Kill the malicious process via EDR. Remove the registry persistence key.,"1. Block identified C2 IP and associated domain at perimeter firewall, web proxy, and DNS sinkhole.
2. Terminate the malicious process on the host via EDR remote kill.
3. Remove the registry run key persistence entry.
4. Decode and analyse the PowerShell payload to identify second-stage actions and additional IOCs.
5. Search SIEM for the same C2 IP and domain across all hosts in the environment.
6. Review email logs for evidence of CVE-2023-23397 or CVE-2022-30190 exploitation.
7. Patch Outlook and Office if affected versions are confirmed.
8. Submit all IOCs (hash, C2 IP, domain, registry key) to threat intel platform.",Investigate,Investigate,YES
1024,2026-02-13T05:15:21Z,Endpoint Protection,Endpoint Malware Detection,Carbon Black,HIGH,71,MEDIUM,Workstation,Staff,trojan signature;LSASS access;no confirmed dump,Trojan attempted LSASS memory access; access blocked before dump completed.,Malware,5.62,TA0002 - Execution / TA0003 - Persistence,T1003.001 - LSASS Memory Dump,CVE-2022-24521 (Windows CLFS EoP) - commonly used for privilege escalation prior to credential dump,"LSASS access or dump attempt means all credentials cached on this host must be considered compromised. If the host is domain-joined, domain credentials including service accounts are at risk. Lateral movement confirms the attacker is actively pivoting.",Isolate host immediately. Assume all credentials cached on this host are compromised and initiate forced reset.,"1. Isolate the endpoint immediately via EDR quarantine.
2. Initiate forced password reset for all user accounts that were logged into this host.
3. Reset the machine account password in Active Directory.
4. Temporarily disable affected accounts pending investigation.
5. Search for Qakbot or similar trojan persistence: scheduled tasks, DLL hijacks, startup folders.
6. Review Active Directory event logs for new admin account creation or privilege changes.
7. Check neighbouring hosts for the same lateral movement IOCs.
8. Escalate to Tier-2 for full forensic investigation and AD remediation.",Investigate,Investigate,YES
1025,2026-02-10T00:42:19Z,Identity Provider,Authentication Failure Anomaly,Okta,CRITICAL,90,HIGH,User Account,Admin,impossible travel;admin account;foreign IP;no VPN,Admin account logged in from two continents within 25 minutes with no VPN or travel notice.,Authentication Anomaly,9.5,TA0006 - Credential Access / TA0001 - Initial Access,T1078.004 - Cloud Accounts / Valid Accounts,N/A (credential stuffing or account compromise; no CVE applicable),Impossible travel or TOR exit node login is a strong indicator of account compromise. The attacker may be using previously stolen credentials. Admin accounts under this indicator represent a critical risk due to elevated privileges.,Revoke all active sessions for the account immediately. Suspend the account pending user verification.,"1. Revoke all active sessions for the account in the identity provider (Okta, Azure AD).
2. Suspend the account to prevent further access.
3. Contact the user via a verified out-of-band channel (phone call, not email) to confirm whether the login was authorised.
4. If confirmed unauthorised: reset password, revoke all MFA devices, and re-enrol MFA on a verified device.
5. Review the audit log for all actions taken during the foreign or TOR session (data access, downloads, setting changes).
6. If an admin account: check for new account creation, privilege escalation, or configuration changes.
7. Submit the source IP to threat intel and check for known credential-stuffing campaign association.
8. Escalate to Tier-2 if any data access or privilege misuse is confirmed during the suspicious session.",Escalate,Escalate,YES
1026,2026-02-10T06:18:44Z,Identity Provider,Authentication Failure Anomaly,Azure AD,HIGH,81,HIGH,User Account,Staff,brute force;50 failed logins;5 minute window,Over 50 failed login attempts against a single account within 5 minutes from one external IP.,Authentication Anomaly,7.5,TA0006 - Credential Access / TA0001 - Initial Access,T1110.001 - Brute Force: Password Guessing,N/A (credential attack; no CVE applicable),Brute-force volume and speed indicate an automated credential attack tool. Source IP may belong to a botnet. Account lockout policy effectiveness should be reviewed. Check whether any login ultimately succeeded from the attacking IP before lockout.,Block the attacking IP at the perimeter firewall. Lock the targeted account. Review and tighten account lockout policy threshold.,"1. Block the attacking source IP at the perimeter firewall.
2. Lock the targeted account in the identity provider.
3. Verify that no successful login occurred from the attacking IP before lockout triggered.
4. If a successful login occurred: treat as full account compromise and follow impossible travel playbook.
5. Review account lockout policy — tighten threshold to 5-10 failed attempts if currently higher.
6. Check whether the same source IP targeted other accounts.
7. Submit source IP to threat intel platform.
8. Reset account password and unlock after confirmation with the account owner.",Escalate,Escalate,YES
